origin_city,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
"Atlanta, GA","New Orleans, LA",722,39,486,0,430,986,36,4602
"Atlanta, GA","New York, NY",1611,57,1168,5,953,2325,118,11647
"Atlanta, GA","Newark, NJ",705,59,1019,2,475,1465,116,6051
"Atlanta, GA","Norfolk, VA",405,22,308,1,207,554,27,2502
"Atlanta, GA","Oakland, CA",34,1,17,0,28,50,3,157
"Atlanta, GA","Oklahoma City, OK",227,15,124,0,127,300,12,2029
"Atlanta, GA","Omaha, NE",233,20,147,1,134,330,15,2010
"Atlanta, GA","Ontario, CA",134,12,102,0,80,194,9,917
"Atlanta, GA","Orlando, FL",1424,64,1418,10,958,2322,145,8935
"Atlanta, GA","Palm Springs, CA",10,0,16,0,4,22,0,124
"Atlanta, GA","Panama City, FL",232,22,143,0,131,324,19,2375
"Atlanta, GA","Pensacola, FL",292,21,203,0,147,425,18,2588
"Atlanta, GA","Philadelphia, PA",835,48,663,4,689,1310,53,5820
"Atlanta, GA","Phoenix, AZ",500,27,421,2,324,767,19,3680
"Atlanta, GA","Pittsburgh, PA",305,21,220,1,213,461,21,2851
"Atlanta, GA","Portland, ME",60,4,49,0,25,90,6,508
"Atlanta, GA","Portland, OR",145,13,172,0,93,255,9,1355
"Atlanta, GA","Providence, RI",142,10,81,0,100,200,7,1004
"Atlanta, GA","Raleigh/Durham, NC",590,26,331,0,399,834,27,4757
"Atlanta, GA","Reno, NV",37,3,30,0,16,47,4,167
"Atlanta, GA","Richmond, VA",440,19,289,1,300,609,16,3089
"Atlanta, GA","Roanoke, VA",94,16,61,1,65,145,11,1097
"Atlanta, GA","Rochester, NY",150,7,85,1,71,192,9,1011
"Atlanta, GA","Sacramento, CA",87,7,92,0,29,133,7,961
"Atlanta, GA","Salt Lake City, UT",350,24,203,0,174,464,18,2984
"Atlanta, GA","San Antonio, TX",385,23,294,2,288,571,19,2986
"Atlanta, GA","San Diego, CA",294,19,384,1,175,527,25,2428
"Atlanta, GA","San Francisco, CA",450,39,620,0,231,864,28,3125
"Atlanta, GA","San Jose, CA",63,8,65,1,27,106,8,818
"Atlanta, GA","San Juan, PR",278,19,291,0,137,442,9,2117
"Atlanta, GA","Santa Ana, CA",169,11,135,0,41,227,7,1011
"Atlanta, GA","Santa Barbara, CA",28,2,25,0,9,40,2,208
"Atlanta, GA","Sarasota/Bradenton, FL",354,23,264,0,215,507,77,2682
"Atlanta, GA","Savannah, GA",339,25,251,1,187,503,19,2835
"Atlanta, GA","Seattle, WA",333,30,311,9,183,566,41,3537
"Atlanta, GA","Shreveport, LA",97,29,96,1,63,185,21,1337
"Atlanta, GA","Sioux Falls, SD",58,2,36,0,16,75,3,369
"Atlanta, GA","South Bend, IN",196,51,82,0,0,246,8,1029
"Atlanta, GA","Spokane, WA",48,5,50,0,29,80,5,471
"Atlanta, GA","Springfield, MO",121,22,66,0,60,183,5,1178
"Atlanta, GA","St. Louis, MO",420,24,230,1,274,573,18,3426
"Atlanta, GA","Syracuse, NY",142,10,96,0,94,200,12,1055
"Atlanta, GA","Tallahassee, FL",184,20,130,0,105,275,26,2035
"Atlanta, GA","Tampa, FL",1017,31,873,2,764,1608,136,6767
"Atlanta, GA","Traverse City, MI",4,0,2,0,2,4,1,30
"Atlanta, GA","Trenton, NJ",30,1,15,0,34,52,2,226
"Atlanta, GA","Tucson, AZ",84,8,77,0,46,122,6,791
"Atlanta, GA","Tulsa, OK",153,15,81,0,63,208,10,1565
"Atlanta, GA","Valdosta, GA",75,17,48,0,44,117,16,781
"Atlanta, GA","Valparaiso, FL",232,22,151,0,104,335,20,2287
