month,origin_city,dest_city,is_late,cancelled,flight_number
1,"Atlanta, GA","Jacksonville/Camp Lejeune, NC",7,0,62
1,"Atlanta, GA","Kansas City, MO",56,6,256
1,"Atlanta, GA","Key West, FL",34,0,127
1,"Atlanta, GA","Knoxville, TN",39,7,203
1,"Atlanta, GA","Lafayette, LA",31,3,74
1,"Atlanta, GA","Las Vegas, NV",99,0,408
1,"Atlanta, GA","Lexington, KY",24,1,149
1,"Atlanta, GA","Little Rock, AR",30,1,178
1,"Atlanta, GA","Los Angeles, CA",70,0,399
1,"Atlanta, GA","Louisville, KY",31,0,212
1,"Atlanta, GA","Madison, WI",8,2,87
1,"Atlanta, GA","Melbourne, FL",18,0,105
1,"Atlanta, GA","Memphis, TN",43,7,250
1,"Atlanta, GA","Miami, FL",196,1,634
1,"Atlanta, GA","Milwaukee, WI",37,6,188
1,"Atlanta, GA","Minneapolis, MN",32,0,283
1,"Atlanta, GA","Mobile, AL",22,1,112
1,"Atlanta, GA","Moline, IL",14,4,62
1,"Atlanta, GA","Monroe, LA",16,2,62
1,"Atlanta, GA","Montgomery, AL",23,1,106
1,"Atlanta, GA","Montrose/Delta, CO",3,0,27
