week_number,origin_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
2,"Bend/Redmond, OR",13,14,24,0,8,32,9,109
2,"Bethel, AK",0,1,4,4,5,6,1,14
2,"Billings, MT",10,8,24,0,7,29,1,61
2,"Binghamton, NY",0,0,0,0,0,0,1,7
2,"Birmingham, AL",26,10,39,0,48,78,13,296
2,"Bishop, CA",0,0,0,0,1,1,1,12
2,"Bismarck/Mandan, ND",9,9,14,0,9,26,6,61
2,"Bloomington/Normal, IL",4,3,11,0,7,14,2,33
2,"Boise, ID",78,28,111,0,74,165,7,354
2,"Boston, MA",362,29,425,1,189,596,80,2298
2,"Bozeman, MT",26,18,39,0,37,69,20,178
2,"Brainerd, MN",1,1,0,0,0,2,0,12
2,"Bristol/Johnson City/Kingsport, TN",3,1,5,0,5,9,0,42
2,"Brownsville, TX",1,2,4,1,6,8,2,25
2,"Brunswick, GA",5,2,4,0,0,8,0,14
2,"Buffalo, NY",25,8,44,0,29,60,109,368
2,"Burbank, CA",32,5,41,0,50,89,13,502
2,"Burlington, VT",7,3,21,0,9,25,9,122
2,"Butte, MT",1,0,1,0,0,1,0,13
2,"Casper, WY",3,1,0,0,1,5,0,13
2,"Cedar City, UT",2,0,0,0,0,2,0,12
2,"Cedar Rapids/Iowa City, IA",19,18,32,0,19,50,39,131
2,"Champaign/Urbana, IL",4,4,6,0,5,13,2,27
2,"Charleston, SC",40,8,54,0,57,89,19,392
2,"Charleston/Dunbar, WV",15,4,12,0,8,26,5,60
2,"Charlotte Amalie, VI",9,0,16,0,20,26,0,126
2,"Charlotte, NC",534,327,697,28,681,1207,90,3654
2,"Charlottesville, VA",5,0,8,0,4,10,6,57
2,"Chattanooga, TN",10,7,10,0,20,25,11,105
2,"Cheyenne, WY",0,0,0,0,0,0,2,13
2,"Chicago, IL",1061,611,1633,2,1111,2382,901,5796
2,"Christiansted, VI",7,0,11,4,10,15,0,33
2,"Cincinnati, OH",69,11,117,0,63,167,14,697
2,"Clarksburg/Fairmont, WV",0,0,1,0,0,1,0,5
2,"Cleveland, OH",103,9,116,0,91,184,67,717
2,"College Station/Bryan, TX",4,3,2,0,2,8,1,21
2,"Colorado Springs, CO",23,4,33,0,28,62,8,214
2,"Columbia, MO",2,7,9,0,5,11,11,28
2,"Columbia, SC",5,4,14,0,16,23,6,112
2,"Columbus, GA",8,2,4,0,0,10,2,19
2,"Columbus, MS",0,1,3,0,2,3,0,14
2,"Columbus, OH",64,15,144,1,83,194,20,730
2,"Concord, NC",2,0,1,0,2,3,0,14
2,"Cordova, AK",0,0,4,0,5,5,0,14
2,"Corpus Christi, TX",5,4,24,0,25,33,2,71
2,"Dallas, TX",274,12,260,1,322,433,81,1327
2,"Dallas/Fort Worth, TX",1122,644,1430,5,1430,2352,269,5279
2,"Dayton, OH",13,0,20,0,20,35,3,129
2,"Daytona Beach, FL",4,1,3,0,4,6,1,44
2,"Deadhorse, AK",0,0,0,0,1,1,2,11
2,"Decatur, IL",0,0,0,0,3,3,4,19
2,"Denver, CO",1339,145,1024,18,1082,1962,419,5175
2,"Des Moines, IA",60,45,98,0,60,129,78,283
2,"Detroit, MI",399,193,524,1,201,756,194,2097
2,"Devils Lake, ND",0,0,0,0,1,1,4,13
2,"Dickinson, ND",1,0,1,0,1,3,2,11
2,"Dodge City, KS",0,0,3,0,1,2,4,12
2,"Dothan, AL",2,0,4,0,2,6,0,14
2,"Duluth, MN",5,3,3,0,1,9,2,33
2,"Durango, CO",12,4,12,0,11,27,1,60
2,"Eagle, CO",27,7,40,0,36,61,0,138
2,"El Paso, TX",32,11,36,0,51,72,9,281
2,"Elko, NV",0,0,0,0,0,0,0,7
2,"Elmira/Corning, NY",5,1,4,0,0,6,1,18
2,"Escanaba, MI",2,1,1,0,0,3,1,12
2,"Eugene, OR",10,1,1,0,5,13,35,129
2,"Evansville, IN",4,3,9,0,7,15,1,35
2,"Everett, WA",0,1,1,0,0,1,7,25
2,"Fairbanks, AK",5,0,4,0,9,12,2,43
2,"Fargo, ND",12,10,23,0,20,39,9,118
2,"Fayetteville, AR",21,36,88,1,42,97,8,216
2,"Fayetteville, NC",2,3,6,0,2,6,1,28
2,"Flagstaff, AZ",5,1,2,0,0,6,0,24
2,"Flint, MI",6,4,16,0,4,20,4,35
2,"Fort Dodge, IA",1,0,2,0,0,2,5,12
2,"Fort Lauderdale, FL",466,32,483,41,392,757,108,1907
2,"Fort Myers, FL",96,3,96,0,153,203,53,867
2,"Fort Smith, AR",5,4,7,0,4,10,3,21
2,"Fort Wayne, IN",6,7,20,0,10,26,8,69
2,"Fresno, CA",19,7,17,1,23,44,4,193
2,"Gainesville, FL",8,0,2,0,6,9,4,42
2,"Garden City, KS",3,0,1,0,0,3,5,14
2,"Gillette, WY",2,2,5,0,0,6,2,14
2,"Grand Forks, ND",4,3,5,0,1,6,0,27
2,"Grand Island, NE",6,3,7,0,1,10,1,19
2,"Grand Junction, CO",8,3,5,0,0,12,1,61
2,"Grand Rapids, MI",40,32,119,0,47,131,63,342
2,"Great Falls, MT",7,5,11,1,8,22,4,51
2,"Green Bay, WI",12,6,10,0,5,25,16,76
2,"Greensboro/High Point, NC",22,3,31,0,26,51,7,204
2,"Greer, SC",25,13,29,0,39,64,7,274
2,"Guam, TT",0,0,0,0,0,0,0,14
2,"Gulfport/Biloxi, MS",6,4,4,0,7,13,2,53
2,"Gunnison, CO",2,1,4,0,6,9,0,21
2,"Hagerstown, MD",0,0,1,0,1,1,0,3
2,"Hancock/Houghton, MI",1,1,1,0,1,3,6,14
2,"Harlingen/San Benito, TX",7,3,12,0,16,22,1,75
2,"Harrisburg, PA",5,2,7,0,7,15,3,78
2,"Hartford, CT",56,7,94,0,51,114,14,365
2,"Hattiesburg/Laurel, MS",0,0,0,0,0,0,1,12
2,"Hayden, CO",24,3,30,0,33,44,1,95
2,"Hays, KS",0,0,2,0,6,6,3,14
2,"Helena, MT",7,5,9,0,5,17,4,35
2,"Hibbing, MN",3,0,1,0,0,2,0,12
2,"Hilo, HI",17,13,13,0,27,34,1,134
2,"Hilton Head, SC",0,0,0,0,0,0,3,14
